company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
Beyond Meat,Food,Post-IPO,122.0,North America,3,2.621212121212121,0.09090909090909083,four_plus,small
RenoRun,Construction,Series B,163.0,North America,3,0.5,-1.0,twice,small
Namogoo,Marketing,Series C,69.0,Asia,3,0.7142857142857142,-0.18181818181818166,twice,small
Kaleidoscope,Finance,Series A,16.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,tiny
Kape Technologies,Security,Post-IPO,188.0,Europe,2,-0.21818181818181825,-0.16363636363636358,once,medium
VideoAmp,Marketing,Series C,456.0,North America,2,0.7142857142857142,-1.1818181818181817,twice,medium
Loop,Finance,Series A,24.0,North America,3,0.7098765432098766,-0.006172839506172867,twice,tiny
Synctera,Finance,Series A,79.0,North America,1,-0.2901234567901234,-2.006172839506173,once,small
Perimeter 81,Security,Series C,165.0,Asia,3,-0.21818181818181825,0.8363636363636364,once,small
Redox,Healthcare,Series C,50.0,North America,5,-0.26041666666666674,2.40625,once,tiny
Sandbox VR,Consumer,Series A,82.0,North America,5,-0.3833333333333333,2.5166666666666666,once,small
Salto,Other,Series B,69.0,Asia,0,-0.36986301369863006,-2.0684931506849313,once,small
Forma.ai,Sales,Series B,58.0,North America,3,-0.41666666666666674,0.5833333333333335,once,tiny
Wordstream,Marketing,Acquired,28.0,North America,5,-0.2857142857142858,1.8181818181818183,once,tiny
Basis Technologies,Marketing,Series B,52.0,North America,2,-0.2857142857142858,-1.1818181818181817,once,tiny
Bitpanda,Crypto,Series C,546.0,Europe,3,-0.26190476190476186,0.7142857142857144,once,large
Compete,HR,Series A,17.0,Asia,3,-0.2058823529411764,-0.23529411764705888,once,tiny
Swiggy,Food,Unknown,3600.0,Asia,5,3.621212121212121,2.090909090909091,four_plus,large
Edgio,Infrastructure,Post-IPO,462.0,North America,2,1.5625,-1.1875,thrice,medium
Lighter Capital,Finance,Series B,15.0,North America,5,0.7098765432098766,1.9938271604938271,twice,tiny
10X Genomics,Healthcare,Post-IPO,242.0,North America,3,-0.26041666666666674,0.40625,once,medium
Magic Leap,Consumer,Series E,2600.0,North America,5,-0.3833333333333333,2.5166666666666666,once,large
Fiverr,Other,Post-IPO,111.0,Asia,0,0.6301369863013699,-2.0684931506849313,twice,small
Minute Media,Media,Series I,160.0,Europe,2,-0.4358974358974359,-0.6666666666666665,once,small
TIFIN,Crypto,Series D,204.0,North America,3,-0.26190476190476186,0.7142857142857144,once,medium
Lyst,Retail,Unknown,144.0,Europe,3,-0.32978723404255317,0.1170212765957448,once,small
Bluevine,Finance,Unknown,769.0,Asia,1,-0.2901234567901234,-2.006172839506173,once,large
BeepKart,Retail,Series A,19.0,Asia,1,-0.32978723404255317,-1.8829787234042552,once,tiny
Singularity 6,Other,Series B,49.0,North America,1,-0.36986301369863006,-1.0684931506849313,once,tiny
Bird,Transportation,Post-IPO,783.0,North America,3,0.5416666666666667,0.05555555555555536,twice,large
Take-Two,Consumer,Post-IPO,4100.0,North America,1,-0.3833333333333333,-1.4833333333333334,once,large
Northvolt,Energy,Unknown,13800.0,Europe,1,0.7692307692307692,-0.6923076923076923,twice,large
Chope,Food,Series E,50.0,Asia,3,-0.3787878787878789,0.09090909090909083,once,tiny
Arrival,Transportation,Post-IPO,629.0,Europe,2,-0.45833333333333326,-0.9444444444444446,once,large
Workable,Recruiting,Series C,84.0,North America,5,-0.47058823529411775,1.3529411764705883,once,small
Lithic,Finance,Series C,115.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,small
